cldf_name,cldf_glottocode,cldf_iso639P3code,cldf_latitude,cldf_longitude,cldf_value,author,title,year,id
Kolbila,kolb1240,klc,8.26797,13.2707,grammar,"Littig, Sabine","Linguistische Beschreibung des Kolbila: Eine Adamawasprache der Nordregion Kameruns",2017,hh:g:Littig:Kolbila
Mundabli,mund1328,boe,6.59969,10.2704,"long grammar","Voll, Rebecca","A grammar of Mundabli: A Bantoid (Yemne-Kimbi) language of Cameroon",2017,hh:g:Voll:Mundabli
Emai-Iuleha-Ora,emai1241,ema,7.09089,5.84494,"long grammar","Schaefer, Ronald P. and Egbokhare, Oisaghaede Francis","A grammar of Emai",2017,hh:g:SchaeferEgbokhare:Emai
Igala,igal1242,igl,7.34325,7.17974,grammar,"Ejeba, Salem Ochala","A grammar of Ígálâ",2017,hh:g:Ejeba:Igala:2017
Ga,gaaa1244,gaa,5.65488,-0.18598,"long grammar","Campbell, Akua Asantewaa","A grammar of Gã",2017,hh:g:Campbell:Ga
"San Dionisio del Mar Huave",sand1278,hve,16.3514,-94.7001,"long grammar","Salminen, Mikko","A Grammar of Umbeyajts as spoken by the Ikojts people of San Dionisio del Mar, Oaxaca, Mexico",2017,hh:g:Salminen:Umbeyajts
Wano,wano1243,wno,-3.47858,137.678,"long grammar","Burung, Willem","A grammar of Wano",2017,hh:g:Burung:Wano
"Sivia Sign Language",sivi1235,lsv,,,"long grammar","Clark, Brenda","A grammatical sketch of Sivia Sign Language",2017,hh:g:Clark:Sivia-Sign
Aragonese,arag1245,arg,42.4669,-0.00919,"long grammar","{Estudio de Filología Aragonesa}","Gramatica Basica de l'Aragonés (Texto Provisional)",2017,hh:g:EFA:Aragones
Prasuni,pras1239,prn,35.1731,70.8004,"long grammar","Buddruss, Georg and Degener, Almuth","Materialien zur Prasun-Sprache des afghanischen Hindukusch, Teil II: Grammatik",2017,hh:g:BuddrussDegener:Prasun
Dhivehi,dhiv1236,div,1.928498,73.54433,"long grammar","Gnanadesikan, Amalia E.","Dhivehi: The Language of the Maldives",2017,hh:g:Gnanadesikan:Dhivehi
Sarikoli,sari1246,srh,37.905,75.1449,"long grammar","Kim, Deborah","Topics in the syntax of Sarikoli",2017,hh:g:Kim:Sarikoli
"Muslim Tat",musl1236,ttt,41.425062,46.645589,"long grammar","Mammadova, Nayiba","Eléments de description et documentation du tat de l'Apshéron, langue iranienne d'Azerbaïdjan",2017,hh:g:Mammadova:Tat-Apsheron
"Yanda Dom Dogon",yand1257,dym,14.63,-3.15,"long grammar","Heath, Jeffrey","A Grammar of Yanda Dom (Dogon, Mali)",2017,hh:g:Heath:Yanda-Dom
Moloko,molo1266,mlw,10.7933,14.2521,"long grammar","Friesen, Dianne and Mamalis, Megan","A grammar of Moloko",2017,hh:g:Friesen:Moloko
"Sudanese Creole Arabic",suda1237,pga,5.654,28.774,grammar,"Manfredi, Stefano","Arabi Juba: un pidgin-créole du Soudan du Sud",2017,hh:g:Manfredi:Arabi-Juba
Turoyo,turo1239,tru,37.2275,42.1451,"long grammar","Waltisberg, Michael","Syntax des Ṭuroyo",2017,hh:g:Waltisberg:Turoyo
"Murui Huitoto",muru1274,huu,-1.13669,-73.8331,"long grammar","Wojtylak, Katarzyna I.","A Grammar of Murui (Bue): A Witotoan language of Northwest Amazonia",2017,hh:g:Wojtylak:Murui-Bue
Opo,opuu1239,lgn,8.47526,33.853,grammar,"Mellese, Gelaneh Alemu","Documentation and grammatical description of Tapo",2017,hh:g:Mellese:Tapo
"Papuan Malay",papu1250,pmy,-2.53482,139.651,"long grammar","Kluge, Angela","A grammar of Papuan Malay",2017,hh:g:Kluge:Papuan-Malay:2017
Arta,arta1239,atz,16.4185,121.656,"long grammar","Kimoto, Yukinori","A Grammar of Arta: A Philippine Negrito Language",2017,hh:g:Kimoto:Arta
Rapanui,rapa1244,rap,-27.113,-109.342,"long grammar","Kieviet, Paulus","A grammar of Rapa Nui",2017,hh:g:Kieviet:Rapa-Nui
Woi,woii1237,wbw,-1.62746,135.484,"long grammar","Sawaki, Yusuf","A grammar of Wooi: An Austronesian language of Yapen Island, Western New Guinea",2017,hh:g:Sawaki:Wooi
Marind,nucl1622,mrz,-8.15651,140.009,"long grammar","Olsson, Bruno","The Coastal Marind Language",2017,hh:g:Olsson:Coastal-Marind
Deni,deni1241,dny,-6.74962,-67.5029,grammar,"de Carvalho, Mateus Cruz Maciel","Estudo morfossintático da língua Deni (Arawá)",2017,hh:g:deCarvalho:Deni
"Eel River Athabaskan",wail1244,wlk,39.1513,-123.284,grammar,"Begay, Kayla Rae","Wailaki Grammar",2017,hh:g:Begay:Wailaki
"Huaylla Wanca Quechua",huay1241,qvw,-12.1809,-75.2055,grammar,"Shimelman, Aviva","A grammar of Yauyos Quechua",2017,hh:g:Shimelman:Yauyos-Quechua
"Huangascar-Topara-Yauyos Quechua",yauy1235,qux,-13.1144,-75.7659,grammar,"Shimelman, Aviva","A grammar of Yauyos Quechua",2017,hh:g:Shimelman:Yauyos-Quechua
"Chincha Quechua",chin1483,qxc,-12.85,-75.649,grammar,"Shimelman, Aviva","A grammar of Yauyos Quechua",2017,hh:g:Shimelman:Yauyos-Quechua
"Nyang'i",nyan1313,nyp,3.4997,33.73651,grammar,"Beer, Samuel James","Grammatical Contraction in Nyang'i: A Descriptive and Comparative Study",2017,hh:g:Beer:Nyangi
"Ngkontar Ngkolmpu",ngka1235,kcd,-8.87044,140.818,"long grammar","Carroll, Matthew","The Ngkolmpu Language with special reference to distributed exponence",2017,hh:g:Carroll:Ngkolmpu
Oki-No-Erabu,okin1246,okn,27.3738,128.619,"long grammar","Tokunaga-Yokoyama, Akiko","Ryūkyū Okinoerabu Kunigami Hogen no bunpo",2017,hh:g:Tokunaga-Yokoyama:Kunigami
"Tornedalen Finnish",torn1244,fit,67.2527,23.066,"long grammar","Söderholm, Eira","Kvensk grammatikk",2017,hh:g:Soderholm:Kvensk:2017
"Pará Arára",para1310,aap,-3.71263,-53.0657,grammar,"Alves, Ana Carolina Ferreira","Morfofonologia, morfossintaxe e o sistema de tempo, aspecto e modo em Arara (Karib)",2017,hh:g:Alves:Arara
Tangam,tang1377,,28.95,94.98,"long grammar","Post, Mark W.","The Tangam Language: Grammar, Dictionary and Texts",2017,hh:g:Post:Tangam
Milang,mila1245,,28.5539908,95.186127,"long grammar","Modi, Yankee","The Milang Language: Grammar and Texts",2017,hh:g:Modi:Milang
Duhumbi,chug1252,cvg,27.4177713,92.2255891,"long grammar","Bodt, Timotheus Adrianus","Grammar of Duhumbi (Chugpa)",2017,hh:g:Bodt:Duhumbi
"Western Puroik",west2873,,27.6808861,93.1364474,grammar,"Lieberherr, Ismael","A Grammar of Bulu Puroik",2017,hh:g:Lieberherr:Bulu-Puroik
Namuyi,namu1246,nmy,28.5909,101.898,grammar,"Pavlík, Štěpán","The Description of Namuzi Language",2017,hh:g:Pavlik:Namuzi
Khroskyabs,guan1266,jiq,31.5655,101.928,"long grammar","Lai, Yunfan","Grammaire du khroskyabs de Wobzi",2017,hh:g:Lai:Lavrung-Wobzi
"Wuding-Luquan Yi",wudi1238,ywq,25.48,102.48,"long grammar","Pu, Zhongliang","Nasu yiyu yufa yanjiu",2017,hh:g:Pu:Nasu
"Nocte Naga",noct1238,njb,27.152,95.3903,"long grammar","Boro, Krishna","A Grammar of Hakhun Tangsa",2017,hh:g:Boro:Hakhun-Tangsa
Aguaruna,agua1253,agr,-5.30044,-77.9218,"long grammar","Overall, Simon","A Grammar of Aguaruna (Iiniá Chicham)",2017,hh:g:Overall:Aguaruna:2017
Lumun,lumu1239,lmd,10.8308,30.253,"long grammar","Smits, Heleen","A grammar of Lumun",2017,hh:g:Smits:Lumun
Kakabe,kaka1265,kke,10.5962,-11.4418,"long grammar","Vydrina, Alexandra","A corpus‐based description of Kakabe, a Western Mande language: prosody in grammar",2017,hh:g:Vydrina:Kakabe
Jalkunan,jalk1242,bxl,10.5426,-5.21959,"long grammar","Heath, Jeffrey","A grammar of Jalkunan (Mande, Burkina Faso)",2017,hh:g:Heath:Jalkunan
Momu-Fas,fass1245,fqs,-3.10868,141.64,"long grammar","Honeyman, Thomas","A grammar of Momu, a language of Papua New Guinea",2017,hh:g:Honeyman:Momu
"South-Eastern Ju",juho1239,ktz,-19.688,20.7673,"long grammar","Pratchett, Lee J.","Dialectal diversity in Southeastern Ju (Kx'a) and a documentation of Groot Laagte ǂKx'aoǁ'ae",2017,hh:g:Pratchett:Kxaoae
Teso,teso1249,teo,1.18321,33.9394,"long grammar","Barasa, David","Ateso Grammar: A Descriptive Account of an Eastern Nilotic Language",2017,hh:g:Barasa:Ateso:PhD
Yeri,yapu1240,yev,-3.47256,142.436,"long grammar","Wilson, Jennifer","A grammar of Yeri: A Torricelli language of Papua New Guinea",2017,hh:g:Wilson:Yeri
Kakua,cacu1241,cbv,0.88778,-69.5659,"long grammar","Bolaños, Katherine","A Grammar of Kakua",2016,hh:g:Bolanos:Kakua
"Iu Mien",iumi1238,ium,20.83,101.17,"long grammar","Arisawa, Tatsuro Daniel","An Iu Mien Grammar: A Tool for Language Documentation and Revitalisation",2016,hh:g:Arisawa:Iu-Mien
"Yatzachi Zapotec",yatz1235,zav,17.1869,-96.284,"long grammar","López Nicolás, Óscar","Estudios de la fonología y gramática del zapoteco de Zoochina",2016,hh:g:Lopez:Zapoteco-Zoochina
Salar,sala1264,slr,35.5457,102.819,"long grammar","Simon, Camille","Morphosyntaxe et sémantique grammaticale du salar et du tibétain de l'Amdo: analyse d'un contact de langues",2016,hh:g:Simon:Salar
"Mbo (Cameroon)",mboc1235,mbo,5.13981,9.92766,"long grammar","Éwané, Christiane Félicité","Description systématique du Mbo (langue bantoue A.15)",2016,hh:g:Ewane:Mbo
Soga,soga1242,xog,0.40456,33.3942,"long grammar","Nabirye, Minah","A corpus-based grammar of Lusoga",2016,hh:g:Nabirye:Lusoga
Sekpele,sekp1241,lip,7.16751,0.5886,"long grammar","Delalorm, Cephas","Documentation and description of Sɛkpɛlé: a Ghana-Togo mountain language of Ghana",2016,hh:g:Delalorm:Sekpele
